"time_raw";"open_price";"high_price";"low_price";"close_price";"volume"
"2026-06-01 00:00:00";4539.6;4546.59;4537.62;4545.3;3348.0
"2026-06-01 00:05:00";4545.3;4545.39;4540.76;4541.2;2445.0
"2026-06-01 00:10:00";4541.2;4543.9;4539.68;4540.8;2465.0
"2026-06-01 00:15:00";4540.8;4544.12;4537.87;4538.42;2464.0
"2026-06-01 00:20:00";4538.42;4542.1;4538.14;4540.97;1864.0
"2026-06-01 00:25:00";4540.97;4544.81;4540.16;4543.78;1804.0
"2026-06-01 00:30:00";4543.78;4545.59;4536.41;4538.66;2102.0
"2026-06-01 00:35:00";4538.66;4539.38;4535.68;4537.24;1961.0
"2026-06-01 00:40:00";4537.24;4537.72;4535.69;4536.42;1701.0
"2026-06-01 00:45:00";4536.42;4542.23;4536.13;4541.68;2159.0
"2026-06-01 00:50:00";4541.68;4543.21;4538.54;4539.32;1779.0
"2026-06-01 00:55:00";4539.32;4542.31;4537.26;4541.0;2082.0
"2026-06-01 01:00:00";4541.0;4541.93;4532.0;4534.72;5189.0
"2026-06-01 01:05:00";4534.72;4535.92;4527.27;4529.6;3641.0
"2026-06-01 01:10:00";4529.6;4534.74;4526.26;4534.33;3202.0
"2026-06-01 01:15:00";4534.33;4534.72;4530.39;4530.8;2700.0
"2026-06-01 01:20:00";4530.8;4537.01;4530.38;4532.58;2906.0
"2026-06-01 01:25:00";4532.58;4533.5;4528.34;4529.26;2716.0
"2026-06-01 01:30:00";4529.26;4533.17;4527.41;4533.1;2923.0
"2026-06-01 01:35:00";4533.1;4533.73;4528.46;4530.17;2473.0
"2026-06-01 01:40:00";4530.17;4534.28;4528.93;4533.48;2480.0
"2026-06-01 01:45:00";4533.48;4534.04;4527.8;4529.1;2457.0
"2026-06-01 01:50:00";4529.1;4531.52;4528.06;4530.42;2369.0
"2026-06-01 01:55:00";4530.42;4530.6;4524.16;4525.59;2992.0
"2026-06-01 02:00:00";4525.59;4528.23;4524.69;4525.44;2128.0
"2026-06-01 02:05:00";4525.44;4531.89;4525.2;4528.99;2004.0
"2026-06-01 02:10:00";4528.99;4534.49;4528.0;4532.51;2406.0
"2026-06-01 02:15:00";4532.51;4535.08;4532.12;4532.41;1620.0
"2026-06-01 02:20:00";4532.41;4533.28;4530.5;4531.79;1248.0
"2026-06-01 02:25:00";4531.79;4532.02;4529.92;4530.83;815.0
"2026-06-01 02:30:00";4530.83;4530.83;4523.73;4527.8;2997.0
"2026-06-01 02:35:00";4527.8;4531.56;4527.58;4528.86;2668.0
"2026-06-01 02:40:00";4528.86;4528.86;4522.72;4523.0;2318.0
"2026-06-01 02:45:00";4523.0;4525.56;4522.22;4523.92;2184.0
"2026-06-01 02:50:00";4523.92;4524.47;4522.49;4522.81;2025.0
"2026-06-01 02:55:00";4522.81;4524.1;4521.54;4522.01;1818.0
"2026-06-01 03:00:00";4522.01;4525.99;4521.62;4524.93;1697.0
"2026-06-01 03:05:00";4524.93;4525.03;4517.71;4517.9;2436.0
"2026-06-01 03:10:00";4517.9;4520.96;4515.9;4519.28;2226.0
"2026-06-01 03:15:00";4519.28;4520.41;4513.94;4519.8;2684.0
"2026-06-01 03:20:00";4519.8;4520.47;4517.9;4518.88;2012.0
"2026-06-01 03:25:00";4518.88;4521.82;4518.11;4520.88;1583.0
"2026-06-01 03:30:00";4520.88;4524.41;4520.22;4522.19;1776.0
"2026-06-01 03:35:00";4522.19;4522.2;4514.83;4516.03;1513.0
