"2026-07-03 17:05:00","4174.86","4174.86","4126.38","1.174880","4170.499167","4174.064653","0.31"
"2026-07-03 17:00:00","4174.86","4174.86","4126.38","1.174880","4169.726667","4174.096181","10.20"
"2026-07-03 16:55:00","4175.20","4174.86","4126.38","1.174880","4168.933333","4174.138819","109.02"
"2026-07-03 16:50:00","4175.43","4174.86","4126.38","1.174880","4168.104167","4174.167083","136.18"
"2026-07-03 16:45:00","4171.60","4174.86","4126.38","1.174880","4167.426667","4174.168819","119.52"
"2026-07-03 16:40:00","4170.60","4174.86","4126.38","1.174880","4167.201667","4174.204444","104.04"
"2026-07-03 16:35:00","4169.53","4174.86","4126.38","1.174880","4167.000833","4174.252847","89.36"
"2026-07-03 16:30:00","4169.25","4174.86","4126.38","1.174880","4166.854167","4174.303750","122.19"
"2026-07-03 16:25:00","4167.16","4174.86","4126.38","1.174880","4166.689167","4174.362708","69.11"
"2026-07-03 16:20:00","4167.69","4174.86","4126.38","1.174880","4166.742500","4174.443611","98.17"
"2026-07-03 16:15:00","4165.25","4174.86","4126.38","1.174880","4166.939167","4174.521111","78.60"
"2026-07-03 16:10:00","4164.56","4174.86","4126.38","1.174880","4167.516667","4174.635069","84.40"
"2026-07-03 16:05:00","4165.59","4174.86","4126.38","1.174880","4168.189167","4174.728681","88.35"
"2026-07-03 16:00:00","4165.34","4174.86","4126.38","1.174880","4168.682500","4174.818194","92.15"
"2026-07-03 15:55:00","4165.25","4174.86","4126.38","1.174880","4169.241667","4174.884861","80.06"
"2026-07-03 15:50:00","4167.30","4174.86","4126.38","1.174880","4169.649167","4174.962222","88.41"
"2026-07-03 15:45:00","4168.90","4174.86","4126.38","1.174880","4169.795833","4175.030139","61.05"
"2026-07-03 15:40:00","4168.19","4174.86","4126.38","1.174880","4169.638333","4175.085694","67.56"
"2026-07-03 15:35:00","4167.77","4174.86","4126.38","1.174880","4169.320000","4175.151389","77.47"
"2026-07-03 15:30:00","4167.27","4174.86","4126.38","1.174880","4169.129167","4175.243611","110.89"
"2026-07-03 15:25:00","4167.80","4174.86","4126.38","1.174880","4168.960833","4175.347292","102.81"
"2026-07-03 15:20:00","4170.05","4174.86","4126.38","1.174880","4168.858333","4175.444236","82.14"
"2026-07-03 15:15:00","4172.18","4174.86","4126.38","1.174880","4168.325000","4175.516875","84.18"
"2026-07-03 15:10:00","4172.63","4174.86","4126.38","1.174880","4167.526667","4175.582708","93.97"
"2026-07-03 15:05:00","4171.51","4174.86","4126.38","1.174880","4166.682500","4175.655069","68.60"
"2026-07-03 15:00:00","4172.05","4174.86","4126.38","1.174880","4165.670833","4175.729097","103.30"
"2026-07-03 14:55:00","4170.14","4174.86","4126.38","1.174880","4165.242500","4175.799792","78.36"
"2026-07-03 14:50:00","4169.06","4174.86","4126.38","1.174880","4164.820833","4175.893750","58.76"
"2026-07-03 14:45:00","4167.01","4174.86","4126.38","1.174880","4164.648333","4175.997431","71.24"
"2026-07-03 14:40:00","4164.37","4174.86","4126.38","1.174880","4164.505000","4176.090972","59.25"
"2026-07-03 14:35:00","4165.48","4174.86","4126.38","1.174880","4164.755000","4176.225069","68.97"
"2026-07-03 14:30:00","4165.25","4174.86","4126.38","1.174880","4164.978333","4176.370833","71.05"
"2026-07-03 14:25:00","4166.57","4174.86","4126.38","1.174880","4165.174167","4176.480764","75.25"
"2026-07-03 14:20:00","4163.65","4174.86","4126.38","1.174880","4165.623333","4176.570139","79.73"
"2026-07-03 14:15:00","4162.60","4174.86","4126.38","1.174880","4166.168333","4176.675347","90.30"
"2026-07-03 14:10:00","4162.50","4174.86","4126.38","1.174880","4166.785000","4176.776458","98.03"
"2026-07-03 14:05:00","4159.37","4174.86","4126.38","1.174880","4167.166667","4176.896944","144.42"
"2026-07-03 14:00:00","4166.91","4174.86","4126.38","1.174880","4167.822500","4177.037500","119.48"
"2026-07-03 13:55:00","4165.08","4174.86","4126.38","1.174880","4168.426667","4177.125556","82.81"
"2026-07-03 13:50:00","4166.99","4174.86","4126.38","1.174880","4169.430833","4177.248125","75.06"
"2026-07-03 13:45:00","4165.29","4174.86","4126.38","1.174880","4170.135000","4177.338125","98.68"
"2026-07-03 13:40:00","4167.37","4174.86","4126.38","1.174880","4171.039167","4177.447847","97.33"
"2026-07-03 13:35:00","4168.16","4174.86","4126.38","1.174880","4171.705000","4177.534167","110.54"
"2026-07-03 13:30:00","4167.60","4174.86","4126.38","1.174880","4172.275000","4177.650486","121.63"
"2026-07-03 13:25:00","4171.96","4174.86","4126.38","1.174880","4173.116667","4177.829444","93.36"
"2026-07-03 13:20:00","4170.19","4174.86","4126.38","1.174880","4173.381667","4177.940139","102.19"
"2026-07-03 13:15:00","4170.00","4174.86","4126.38","1.174880","4173.765833","4178.093750","129.89"
"2026-07-03 13:10:00","4167.08","4174.86","4126.38","1.174880","4174.255000","4178.160833","159.21"
"2026-07-03 13:05:00","4167.24","4174.86","4126.38","1.174880","4175.204167","4178.224722","194.47"
"2026-07-03 13:00:00","4174.16","4174.86","4126.38","1.174880","4176.387500","4178.260903","264.06"
"2026-07-03 12:55:00","4177.13","4174.86","4126.38","1.174880","4176.765000","4178.172708","73.35"
"2026-07-03 12:50:00","4175.44","4174.86","4126.38","1.174880","4177.118333","4177.966944","77.43"
"2026-07-03 12:45:00","4176.14","4174.86","4126.38","1.174880","4177.655833","4177.773611","80.25"
"2026-07-03 12:40:00","4175.36","4174.86","4126.38","1.174880","4178.345000","4177.531944","75.16"
"2026-07-03 12:35:00","4175.00","4174.86","4126.38","1.174880","4179.205833","4177.264583","135.84"
"2026-07-03 12:30:00","4177.70","4174.86","4126.38","1.174880","4180.094167","4177.004583","112.60"
