"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-06-01 00:00:00";4539.6;4484.9;4546.59;4448.09;0.0;4545.3;4545.3;100.0
"2026-06-01 00:05:00";4539.6;4484.9;4546.59;4448.09;0.0;4543.25;4543.25;84.41
"2026-06-01 00:10:00";4539.6;4484.9;4546.59;4448.09;0.0;4542.433333;4542.433333;89.55
"2026-06-01 00:15:00";4539.6;4484.9;4546.59;4448.09;0.0;4541.43;4541.43;91.92
"2026-06-01 00:20:00";4539.6;4484.9;4546.59;4448.09;0.0;4541.338;4541.338;74.05
"2026-06-01 00:25:00";4539.6;4484.9;4546.59;4448.09;0.0;4541.745;4541.745;75.22
"2026-06-01 00:30:00";4539.6;4484.9;4546.59;4448.09;0.0;4541.304286;4541.304286;89.22
"2026-06-01 00:35:00";4539.6;4484.9;4546.59;4448.09;0.0;4540.79625;4540.79625;85.02
"2026-06-01 00:40:00";4539.6;4484.9;4546.59;4448.09;0.0;4540.31;4540.31;75.96
"2026-06-01 00:45:00";4539.6;4484.9;4546.59;4448.09;0.0;4540.447;4540.447;96.76
"2026-06-01 00:50:00";4539.6;4484.9;4546.59;4448.09;0.0;4540.344545;4540.344545;81.23
"2026-06-01 00:55:00";4539.6;4484.9;4546.59;4448.09;0.0;4540.399167;4540.399167;95.45
"2026-06-01 01:00:00";4539.6;4484.9;4546.59;4448.09;0.0;4539.5175;4539.962308;222.27
"2026-06-01 01:05:00";4539.6;4484.9;4546.59;4448.09;0.0;4538.550833;4539.222143;149.57
"2026-06-01 01:10:00";4539.6;4484.9;4546.59;4448.09;0.0;4538.011667;4538.896;128.3
"2026-06-01 01:15:00";4539.6;4484.9;4546.59;4448.09;0.0;4537.376667;4538.39;107.34
"2026-06-01 01:20:00";4539.6;4484.9;4546.59;4448.09;0.0;4536.6775;4538.048235;111.68
"2026-06-01 01:25:00";4539.6;4484.9;4546.59;4448.09;0.0;4535.4675;4537.56;101.41
"2026-06-01 01:30:00";4539.6;4484.9;4546.59;4448.09;0.0;4535.004167;4537.325263;106.42
"2026-06-01 01:35:00";4539.6;4484.9;4546.59;4448.09;0.0;4534.415;4536.9675;88.66
"2026-06-01 01:40:00";4539.6;4484.9;4546.59;4448.09;0.0;4534.17;4536.801429;86.89
"2026-06-01 01:45:00";4539.6;4484.9;4546.59;4448.09;0.0;4533.121667;4536.451364;85.34
"2026-06-01 01:50:00";4539.6;4484.9;4546.59;4448.09;0.0;4532.38;4536.18913;80.9
